trial,score,validity_rate,delivery_fraction,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
133,444.008519515569,1.0,1.0,444.008519515569,10,10,2.650439977645874,False,1.4492216749416897,0.1571441198115255,1.0620205207803253,3.170067240437415,6.8329216146602025,1.0813622163262424,0.31353683694777534,3.5743640180517318,0.8647306326235464,1.75638961252463,0.7619599267748025
134,47619047.61904767,0.0,0.9523809523809523,0.0,10,0,2.7670576572418213,False,1.6733276024231847,0.2401855996754049,0.705211396975413,6.160596477923085,7.267182717282328,3.278989095893194,0.19431184165120002,5.519749354384574,0.7023201016824987,0.10802895761283215,2.0685272489573294
135,444.43558681838596,1.0,1.0,444.43558681838596,10,10,2.2535600662231445,False,1.5688039456736818,0.12498845815933284,0.95528352316746,4.680938450107825,5.772764624847277,2.980723185401592,0.4999968013810244,4.089032784050325,0.787437965886435,0.3434944130922215,1.7231204008216987
136,470.81444711206484,1.0,1.0,470.81444711206484,10,10,2.6945247650146484,False,1.2565018137799375,0.16684952720877771,2.6057499130391935,4.199011359202585,7.398490103756669,1.4505297140379907,2.353417930213773,5.7971960982956725,2.9745420380113607,0.7504172470343715,2.3641649790154924
137,448.42341687549515,1.0,1.0,448.42341687549515,10,10,2.483699321746826,False,1.8725998822091163,0.1948724603390402,0.794203808235237,1.3830234192629909,6.640797223222996,1.2352562760056822,0.3800533835736337,2.966725374852965,0.7395163325501852,2.6247316916141705,2.2644502881331574
138,430.9610196220077,1.0,1.0,430.9610196220077,10,10,2.7499470710754395,False,1.0779232712635578,0.10228479042327153,1.1811946627262098,1.6529729821579928,7.6884728420957025,1.552722398125612,0.2679275747127373,3.747771364550859,0.9223534665386842,1.9537499239247813,0.45677542702304597
139,444.008519515569,1.0,1.0,444.008519515569,10,10,2.733551502227783,False,1.3239215409157572,0.11619397292702524,0.5794545406284636,1.7541752393948946,7.6959523006183925,1.62982779994143,0.2700965724244348,3.7069583936972244,1.0105220563121635,1.599388379760811,1.5168801688190967
140,1000000000.0,0.0,0.0,0.0,10,0,15.204527854919434,False,1.0410026589101642,0.0853965617596664,1.1992387822959991,1.5508024165266778,7.973439382695508,2.614010362540902,1.994377477666671,3.8273482448712906,0.9216978490229921,1.9511594769588136,0.9311612246197366
141,444.008519515569,1.0,1.0,444.008519515569,10,10,2.6669468879699707,False,1.1286631406855978,0.182035004114177,1.112444808083837,2.2218849100351155,7.546890070271477,1.5064399308624754,0.19111937178269933,4.316223365795635,1.1615658414823997,1.9025244450647891,0.4494651357667991
142,444.008519515569,1.0,1.0,444.008519515569,10,10,2.7010130882263184,False,1.4069232193119736,0.9454507756229636,0.8690519195534845,1.3283793452633896,7.776637625090334,1.3548407296771943,0.43722014839802836,3.4740924174729324,0.8274734463825002,1.834662326701222,0.5475386813441219
143,430.9610196220077,1.0,1.0,430.9610196220077,10,10,2.807659864425659,False,1.2173937569608726,0.09951868878913127,1.0052807425305157,2.484680470934939,1.069139554776092,1.5439033673379863,0.3223902077026049,3.993172157374256,0.6525029426113942,0.6476385640387592,0.637424491789716
144,47619047.61904767,0.0,0.9523809523809523,0.0,10,0,4.82213282585144,False,1.5272883247618325,0.10163659635079315,0.9989009604458315,1.6662203445369301,1.241060269717448,1.8431558141150712,0.10365688194959113,4.063117661250913,0.6542600028488093,2.0089987802737035,0.6766173319319221
145,95238095.23809524,0.0,0.9047619047619048,0.0,10,0,5.4708452224731445,False,1.2142963373572444,0.09511595388797782,0.7489712474753029,3.8176614476777755,2.2408648162396787,1.543771866831934,0.31208802568277255,3.8949490603840204,0.43227913410015695,0.6605998201783544,0.8120838743568857
146,1000000000.0,0.0,0.0,0.0,10,0,15.604038953781128,False,1.6549740627644778,0.10459078322950267,0.9244157203511062,1.8537879446572696,7.441330956642771,3.5207630773106304,1.8032555945477193,3.671136981948737,0.588622369790464,0.551757825455134,0.32802052801992865
147,444.008519515569,1.0,1.0,444.008519515569,10,10,2.3800766468048096,False,1.4295785545746393,0.08695801612403303,1.383648268502109,5.747597935474194,7.621673234522985,2.0079323112052196,0.23014733706278317,3.1806362247281963,0.932079148689572,0.4711960318842055,2.1873709120562808
148,467.642362705816,1.0,1.0,467.642362705816,10,10,3.1731443405151367,False,14.540785988912246,0.11960141718844909,0.8282453218507031,3.435878156455894,2.472265581618334,1.7210156624374906,0.3605622721335262,3.5764129487322407,0.751446206992434,0.6068973092791565,1.0802915632204935
149,431.38808692482473,1.0,1.0,431.38808692482473,10,10,2.8003034591674805,False,1.3152683991612,0.07908767102258275,1.0530341611202378,2.0690661485883504,1.775964459429926,1.62060827118563,0.16134685516989908,4.147891353629189,1.047330921237344,1.1981178892057263,0.49965393515073686
150,444.4770241562269,1.0,1.0,444.4770241562269,10,10,2.6595659255981445,False,1.3267675538748185,0.07436106572972129,1.0627847886481419,1.9659588807742017,2.091468326392261,1.6219782104746774,0.2716032938754268,4.1385111634912235,1.036265798518301,1.115677406837711,0.39870668704950946
151,431.38808692482473,1.0,1.0,431.38808692482473,10,10,2.8219311237335205,False,1.2530955250923999,0.06838018028850747,0.6696859276270746,2.2786319229728194,1.065881963934717,1.5086530377256402,0.1697523964880431,3.821505989986935,0.9807711315014984,0.7781194589734858,0.23407868681747068
152,430.9610196220077,1.0,1.0,430.9610196220077,10,10,2.9308693408966064,False,1.0677719574586642,0.0592912722628224,1.0111271580330128,2.0495472965075465,1.3205930661446303,1.5413032170584269,0.18985870665344276,3.968281270646981,0.9039844818464232,1.3405083393840012,0.13503289447972244
153,430.9610196220077,1.0,1.0,430.9610196220077,10,10,3.132824659347534,False,1.045598549611563,0.06341860497500085,1.2470586380285373,2.077185015574935,1.0857660739320802,1.5485516726115882,0.17970554150778595,3.956635004025805,1.079426779727366,1.2872250711329756,0.14671110744033233
154,444.28004143504904,1.0,1.0,444.28004143504904,10,10,2.9356157779693604,False,1.0681417976376606,0.05346771436551912,1.1852534172326223,2.047822601026328,1.0632074435419117,1.4626638444072182,0.18899377205835677,4.41015701599629,1.0718854177433432,1.148425468527382,0.07317928762815148
