trial,score,validity_rate,delivery_fraction,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
0,452.1062447101114,1.0,1.0,452.1062447101114,10,10,11.07148265838623,False,3.6621746474194996,0.8627358286640178,3.061978796339918,5.190609389379256,2.0921304830970557,0.7083786293111903,0.3265260874559779,6.996321093312014,1.8033450352296265,2.1242177333881367,0.06175348288740734
1,1000000000.0,0.0,0.0,0.0,10,0,2.318103551864624,False,28.831005765547808,0.6053448468001081,1.2431868873739664,2.272774770449704,2.283831568974037,1.2865447475421972,2.1465500833657276,3.739587639815868,0.8736874205941257,1.8355586841671383,0.4184815819561255
2,1000000000.0,0.0,0.0,0.0,10,0,2.1563661098480225,False,2.7524631377335904,0.1498365454855079,2.0962449447596256,6.496231729751095,2.3977164751085183,2.1055143098130853,2.410416818561966,0.8483780953999829,1.822634555704315,0.5115723710618746,0.19515477895583855
3,1000000000.0,0.0,0.0,0.0,10,0,2.2872886657714844,False,26.804952738183598,0.902165560356813,3.329390718407614,3.132296384213595,1.683704798044687,2.768508803397412,1.8165947255844452,1.415286761335841,1.4855307303338106,0.10316556334565519,2.7279612062363463
4,1000000000.0,0.0,0.0,0.0,10,0,2.3357114791870117,False,2.4518996051190225,0.36385753170854673,1.5909887663129383,4.640476148244676,4.826971955402957,0.8209323765495554,3.881380048281778,6.313496175208359,2.8184968246925672,2.6844820512829464,1.7936999364332555
5,761904761.9047619,0.0,0.23809523809523808,0.0,10,0,4.941427707672119,False,24.40950569715374,0.06517805612564438,1.1859400184670081,1.3165910223737665,3.2773123153428503,1.6158414297889798,1.1582612239181942,6.71553131863947,1.0702599800807677,0.8428035290621423,1.6280882494747453
6,433.6841412986125,1.0,1.0,433.6841412986125,10,10,6.865050554275513,False,1.6297166185747622,0.5529073188281501,0.7609272528791979,7.908208556203621,6.405713385076602,0.8749911579832723,0.12153625678204936,6.615960713411257,2.120572031542851,2.1870215041229617,2.3138110400578373
7,422.01577996009337,1.0,1.0,422.01577996009337,10,10,11.441963911056519,False,1.292552839158203,0.14633380642745356,0.905541708337954,7.041723981129155,5.363086887792905,1.3905022969253318,0.34787756611549214,2.8323674128674665,0.9755499660802411,2.1888185350141924,1.9126724140656393
8,1000000000.0,0.0,0.0,0.0,10,0,3.6693365573883057,False,21.64652763840048,0.20574807773456674,0.918579860784056,5.992713510560965,6.325495340318282,2.2889810705210354,3.106772001822788,4.20346697273293,1.568198488145982,1.282623055075649,0.07625738023228557
9,450.9177695974645,1.0,1.0,450.9177695974645,10,10,12.098245859146118,False,1.453425511659038,0.054936415317897,2.7274364394232316,3.2004918675342866,4.559994838152919,3.6395092483117626,1.0722396936806122,3.577871922767223,2.266653415629146,0.6863944964748674,0.23093972948637898
10,1000000000.0,0.0,0.0,0.0,10,0,3.8676369190216064,False,2.7297281166089666,0.08104453503601766,3.753941783199006,6.656842656950919,5.433826295572964,3.498696301732099,3.2343210999065466,1.8992754416452688,2.677676995469933,1.6180267257469523,2.4223204654921875
11,1000000000.0,0.0,0.0,0.0,10,0,3.007514476776123,False,22.322961007291266,0.12962896813527133,0.8851817358468687,2.595546137793592,3.9897545203837943,3.2902575870977233,3.4568492746997395,0.5521409789839302,1.5322419077326972,1.252233009446337,0.6663234314121907
12,459.03300644741057,1.0,1.0,459.03300644741057,10,10,12.46202039718628,False,1.5150094962153353,0.1374730187313928,3.800183963693817,3.262420524145287,4.631534352203563,2.8417739396911936,1.5181554492792466,7.788365620407205,2.8873418848263337,0.7553468874760925,1.4917455176771564
13,1000000000.0,0.0,0.0,0.0,10,0,3.932392120361328,False,2.8370499454812608,0.11736970999525805,0.6291043157408648,5.266950337859278,4.51875316260203,0.30076712987495846,1.1867212105227847,7.311994144749903,0.7186856720009173,0.4346846162736693,1.468358280832689
14,476190476.1904762,0.0,0.5238095238095238,0.0,10,0,61.180668115615845,False,30.447508447441887,0.10325026457205005,2.852474415920575,6.331337307301023,2.6634628079467975,2.9400437595862523,1.5343542176050877,5.242293729451846,1.900589132282684,1.6073240522242753,0.2708693101632249
15,38095691.56284488,0.2,0.9619047619047619,453.4676068113075,10,2,8.456688642501831,False,18.08237756237007,0.13071170838815346,1.1528147863994898,1.2854259908833474,5.136250602317693,2.7425010111849013,0.164692532818639,4.340697937244608,0.6794873255938139,1.9355183712283495,0.5230992870149743
16,1000000000.0,0.0,0.0,0.0,10,0,3.7148995399475098,False,10.963896358898769,0.1592664464712787,3.7785549605785707,1.9626466090219528,3.3874644573518093,0.5425467328382974,3.7063051112863947,7.080045150357358,0.7738248831454668,1.9799521381025371,2.4516666006036476
17,1000000000.0,0.0,0.0,0.0,10,0,3.816162347793579,False,6.849525542617368,0.24437754297365058,1.3464830181515808,1.6517193746412944,7.280510305673287,3.611630422936989,2.569095683365745,3.0427234328652553,1.0476287238379827,2.177867036610718,2.691330779857731
18,1000000000.0,0.0,0.0,0.0,10,0,3.6722753047943115,False,21.6370531677254,0.5171439905892993,2.747110761540007,1.588979754965342,2.131400998662296,3.604361335255609,2.4650733326724006,0.5689778871247224,0.3044146285980963,1.9905053073241674,0.01518475153865606
19,450.65553995241254,1.0,1.0,450.65553995241254,10,10,11.245193481445312,False,1.7459839016739451,0.2587552224669915,2.9216331919244265,5.5637288165182035,2.5698851662239184,2.87749896325539,1.0252714412375203,2.9404977361945077,2.2394742153540723,1.948898697141644,2.5476702314825337
20,761904761.9047619,0.0,0.23809523809523808,0.0,10,0,4.782693862915039,False,1.0488867339784098,0.40693813039026433,1.8229955016461472,7.827863971145119,7.858546469635382,1.2722028098924498,0.5017809856152982,5.828312079990729,0.29090633924483944,2.979911620837046,2.0118667112045787
21,444.17333907190243,1.0,1.0,444.17333907190243,10,10,10.72731900215149,False,1.6310173691621825,0.2634174403980451,2.4255099794935973,7.966212474702199,6.187394609661175,1.5604025842575808,0.7088258465243313,2.5024330470902716,2.386696293566028,2.441644138020902,2.994805934993571
22,456.2133083001827,1.0,1.0,456.2133083001827,10,10,10.718019008636475,False,1.0705900447943106,0.30374861744370857,2.3886703738097914,7.943112070373146,6.0248919216318555,1.6949413210371636,0.6503613380259686,2.2673926966722373,2.3997676509051353,2.446012724948221,2.1832437021894373
23,469.18318936864637,1.0,1.0,469.18318936864637,10,10,11.91675877571106,False,5.044373337769695,0.2066647060422115,0.5694163757988792,7.19987033560059,6.564333545069917,1.0938846291548825,0.75608159474777,4.823090027922477,2.4330038471174134,2.4046371648903078,2.8945751042651553
24,442.05737358330015,1.0,1.0,442.05737358330015,10,10,10.901954889297485,False,1.9872963473076795,0.6523213343774594,1.9815637510265616,7.277058126470947,5.58332351061654,1.7004190553311425,0.24566434203795096,2.6165799979357893,2.0116354278146584,2.7162213584422825,1.0553927194650106
25,430.4004425445005,1.0,1.0,430.4004425445005,10,10,9.159046411514282,False,2.050598638509606,0.6292726648013265,1.8937622508977776,7.319478087471933,5.591012690363774,0.11064444326883338,0.12868242834940274,3.2018018790737743,2.0743664422917734,2.9274398467095226,1.0185424297257177
26,425.20299444141136,1.0,1.0,425.20299444141136,10,10,10.965668201446533,False,4.060047483138873,0.48119270038218,1.6462170567498733,7.153403734906268,6.948271501284854,0.15274077037639397,0.13171878948039034,3.5525878927577166,1.2545093365532733,2.7989073510277143,1.1473032841040351
27,451.82269912866104,1.0,1.0,451.82269912866104,10,10,11.760457515716553,False,3.9330312335721858,0.4346190569643756,1.630816190401827,7.10778773839296,7.015879551390752,0.1397912195831369,0.47366228592705284,3.31738260331521,1.2672975909098776,2.989494265174685,1.1116481952834663
28,468.3871241467817,1.0,1.0,468.3871241467817,10,10,11.656524896621704,False,9.27808634482521,0.7007749925315252,1.6648304438083692,4.572185155812412,7.9735776908367155,0.38799966557316923,0.8427438901336133,1.8410105093228788,1.2802679775900347,2.6713947092005155,1.069723597142948
29,442.88021359385084,1.0,1.0,442.88021359385084,10,10,11.21616244316101,False,3.774901914735854,0.8613385345691176,1.4605549601816925,5.903058292142017,5.706411567828492,0.6270371165146741,0.4479084012627431,4.001328911284767,1.688492500920942,2.797834504969791,0.8230675115098326
30,61904761.90476191,0.0,0.9380952380952381,0.0,10,0,5.7498414516448975,False,5.071544796049666,0.1771530701480097,2.150389736765952,6.869811904396117,7.394936767049377,3.9901323310757952,1.506513644099215,4.774291067223052,0.4930309575785079,2.318323816655391,1.171752355500562
31,429.7256479299426,1.0,1.0,429.7256479299426,10,10,11.054032564163208,False,2.145623491363564,0.534160421734834,0.8456746201045221,7.259752571443181,6.8340893596957635,0.8685325025358142,0.1032780311886865,3.262577832360886,2.100714891453042,2.5703985880036626,2.1486991925992838
32,1000000000.0,0.0,0.0,0.0,10,0,4.135397434234619,False,2.130789602281058,0.47875309277329386,1.0957613005767393,7.461573128703971,6.827777679030474,0.19309622383178648,0.3542288311969214,3.365272175677712,0.03765980145868597,2.5706674096997038,1.8187067366812624
33,422.8303457185336,1.0,1.0,422.8303457185336,10,10,11.494051456451416,False,1.2605618754024157,0.7434942233471219,1.9198207691919222,6.298776160286533,5.912335540924571,1.0460323343109146,0.21077021316184502,2.8002941350021846,1.2987871875073034,2.849608401837004,1.3227839619527897
34,427.86265763138215,1.0,1.0,427.86265763138215,10,10,10.307906150817871,False,1.2676241871007266,0.7279674327070802,0.9476175201720675,6.215320582849388,7.400981345828799,1.0399170890829594,0.47461577684778916,1.5138712832104062,1.2780199938465993,2.572388892484707,1.3119918825393295
35,429.3918898729262,1.0,1.0,429.3918898729262,10,10,10.535908460617065,False,1.2644496729469525,0.7829842357866463,1.4137427058524419,6.280556745781845,7.557949053899831,1.211309358857589,0.9118746673112534,1.4292274471336703,1.3141704094063151,2.768140412263048,1.2638120523599345
36,428.33505241657923,1.0,1.0,428.33505241657923,10,10,10.679253578186035,False,1.184921427747376,0.35401116697518636,1.0445153354501295,3.88947900388161,5.099378564116991,2.0278269997250167,0.5435115400146884,1.198627098491667,1.0669246770953724,2.261472457500964,1.3605645001389983
37,422.01577996009337,1.0,1.0,422.01577996009337,10,10,11.126025199890137,False,1.3418809079221972,0.9519482563821523,2.3433111372885915,5.137283655932851,1.177496189075987,1.0748659300250052,0.33992867229484525,2.0720239828559253,0.9238823853447811,2.5564447671021115,0.88302570564034
38,1000000000.0,0.0,0.0,0.0,10,0,3.5538809299468994,False,3.222269360614462,0.8394792164579101,2.318314153734855,5.2638967281874,1.5783349733153,1.8869476275240964,2.0315930111548877,2.0996732446311435,0.9242897381533243,2.85515422149187,1.6762011689717853
39,469.60077928986647,1.0,1.0,469.60077928986647,10,10,11.360501050949097,False,14.285251242706947,0.8859861459257895,3.2567108607548647,5.66410992839279,4.172914754999881,1.4631796657928973,1.2561743912311707,2.718048025752076,0.9149948896395956,2.119920587951074,0.7977849678025042
40,428.9767535431145,1.0,1.0,428.9767535431145,10,10,10.216042041778564,False,1.3987281037533312,0.9761917211018901,2.1018564023232216,4.984766455427597,6.02189669874613,2.3776162922303556,0.2876417794386805,3.8620380463484505,1.4466059142713759,1.8130115951140398,0.8435671946261675
41,423.9425733356937,1.0,1.0,423.9425733356937,10,10,10.483718395233154,False,1.2883698177082312,0.7073065221292035,2.6201395702572836,6.77152446918256,6.944656020627406,0.9698847917244406,0.3493797889770125,1.1488770546430844,1.1704708202819925,2.5610290605028148,1.8809697136578514
42,424.7709234680691,1.0,1.0,424.7709234680691,10,10,9.54481053352356,False,1.0163785948352857,0.9918766659140283,2.5405160167919956,6.6762046401241895,1.0513658364946157,0.7968204024855707,0.6544453000386476,0.910160470394624,1.1152832249165368,2.592052350668905,1.9810104296965694
43,47619047.61904767,0.0,0.9523809523809523,0.0,10,0,4.704683065414429,False,1.0376436341896915,0.9953213533759113,2.565686812025043,4.104856123758477,1.4162468235079664,0.965420365185865,0.6377717087067749,1.1672700464078831,0.5127824890581849,2.592777658148994,1.9283338592801669
44,476190476.1904762,0.0,0.5238095238095238,0.0,10,0,55.84994316101074,False,1.7691532054308785,0.7405035566409491,3.1908986984422616,6.719761541606536,1.0458310529704502,1.3818050647947269,0.9497871107757845,1.834456506277847,1.1263650261840021,2.4183880234599484,1.595656119912879
