trial,score,validity_rate,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
0,309.0823087799571,1.0,309.0823087799571,50,50,11.066718816757202,False,3.6621746474194996,0.8627358286640178,3.061978796339918,5.190609389379256,2.0921304830970557,0.7083786293111903,0.3265260874559779,6.996321093312014,1.8033450352296265,2.1242177333881367,0.06175348288740734
1,1000000000.0,0.0,0.0,50,0,26.037777423858643,False,28.831005765547808,0.6053448468001081,1.2431868873739664,2.272774770449704,2.283831568974037,1.2865447475421972,2.1465500833657276,3.739587639815868,0.8736874205941257,1.8355586841671383,0.4184815819561255
2,1000000000.0,0.0,0.0,50,0,19.52403998374939,False,2.7524631377335904,0.1498365454855079,2.0962449447596256,6.496231729751095,2.3977164751085183,2.1055143098130853,2.410416818561966,0.8483780953999829,1.822634555704315,0.5115723710618746,0.19515477895583855
3,1000000000.0,0.0,0.0,50,0,20.755998611450195,False,26.804952738183598,0.902165560356813,3.329390718407614,3.132296384213595,1.683704798044687,2.768508803397412,1.8165947255844452,1.415286761335841,1.4855307303338106,0.10316556334565519,2.7279612062363463
4,1000000000.0,0.0,0.0,50,0,26.880777835845947,False,2.4518996051190225,0.36385753170854673,1.5909887663129383,4.640476148244676,4.826971955402957,0.8209323765495554,3.881380048281778,6.313496175208359,2.8184968246925672,2.6844820512829464,1.7936999364332555
5,1000000000.0,0.0,0.0,50,0,30.10761523246765,False,24.40950569715374,0.06517805612564438,1.1859400184670081,1.3165910223737665,3.2773123153428503,1.6158414297889798,1.1582612239181942,6.71553131863947,1.0702599800807677,0.8428035290621423,1.6280882494747453
6,600000376.0737839,0.4,376.073783872648,50,20,17.462960243225098,False,1.6297166185747622,0.5529073188281501,0.7609272528791979,7.908208556203621,6.405713385076602,0.8749911579832723,0.12153625678204936,6.615960713411257,2.120572031542851,2.1870215041229617,2.3138110400578373
7,200000287.14394575,0.8,287.1439457948174,50,40,12.253230571746826,False,1.292552839158203,0.14633380642745356,0.905541708337954,7.041723981129155,5.363086887792905,1.3905022969253318,0.34787756611549214,2.8323674128674665,0.9755499660802411,2.1888185350141924,1.9126724140656393
8,1000000000.0,0.0,0.0,50,0,21.425639629364014,False,21.64652763840048,0.20574807773456674,0.918579860784056,5.992713510560965,6.325495340318282,2.2889810705210354,3.106772001822788,4.20346697273293,1.568198488145982,1.282623055075649,0.07625738023228557
9,319.446450398659,1.0,319.446450398659,50,50,10.240647792816162,False,1.453425511659038,0.054936415317897,2.7274364394232316,3.2004918675342866,4.559994838152919,3.6395092483117626,1.0722396936806122,3.577871922767223,2.266653415629146,0.6863944964748674,0.23093972948637898
10,1000000000.0,0.0,0.0,50,0,22.772425651550293,False,6.8186195754143535,0.3883941904924757,3.8933798877575296,5.022323266615578,1.1075741612967305,0.2510282798486152,1.0962294891842763,7.821049248934964,0.29090633924483944,2.97708799638101,0.8422828627191128
11,326.0677488020632,1.0,326.0677488020632,50,50,10.317116022109985,False,5.961359627719514,0.06202944876259913,2.7965886845157524,3.3976119561642966,3.6732032895166773,3.9643475921090467,0.9496289769617157,5.363100177897434,2.6290614969424864,1.251154814257557,0.9653015328007941
12,306.3865389269164,1.0,306.3865389269164,50,50,10.021524667739868,False,4.082883513503251,0.10273028568815318,2.696750308395824,3.767796885627754,3.91202090511337,3.984464473814997,0.7197372712501156,2.843649947818234,2.2879025612522867,0.8399729258109137,0.823505271227537
13,312.69929075655654,1.0,312.69929075655654,50,50,9.527159929275513,False,9.966121365984183,0.10437005098995727,2.9254313450949794,5.28215723428826,7.757365622458185,3.148825204565477,0.5458478583915654,1.9426990894129683,2.2995670324176327,1.679640531167207,0.9587558463196564
14,380000314.5326279,0.62,314.53262786122303,50,31,18.68261408805847,False,3.19230148208247,0.26952784772178723,2.346698428837574,3.9437281693227515,3.383465469947752,2.982749200795202,1.5615479249169573,5.118308874300325,2.986492803597511,2.24412995092169,0.7150614769491068
15,306.00727747150006,1.0,306.00727747150006,50,50,9.646310091018677,False,4.242967637063762,0.09608173125704073,3.4736264123083305,5.674307363517158,2.646423277410512,0.12546678393818533,0.48611473192392907,2.53951895742422,1.9340353277849767,1.0823401068184402,1.2740090192431748
16,304.57193252172766,1.0,304.57193252172766,50,50,9.909280061721802,False,11.067325278261885,0.09753810311841779,3.7808186375335855,4.116444532706599,3.6866151741929993,0.22440720219759908,0.6782125701877779,2.480527748467777,2.5071308865304625,1.0701119091242128,1.4237801228895228
17,1000000000.0,0.0,0.0,20,0,5.456359624862671,True,13.275474744019272,0.09116428638766029,3.856467994927379,6.020369423827789,2.913813933045003,0.13574294237715254,2.726052148152296,2.1476690751655503,2.5677286231890677,1.2079139870354492,1.3797965823961524
18,311.2090558358222,1.0,311.2090558358222,50,50,12.14430046081543,False,11.59079381220503,0.1435131908581583,3.5013941823946095,2.3361506441782702,5.7095623302195175,0.4306784664985881,1.5613807642646067,2.880304688109931,1.9895752547145689,0.23496958579769323,1.309201461183014
19,317.710223640253,1.0,317.710223640253,50,50,8.890263319015503,False,8.359111108602306,0.08156082273673741,3.524989786807644,4.2572042520924125,4.175136552410939,1.1392681581322242,1.4347477671181696,0.6301880262932662,1.4094445028258111,0.9982371196246638,2.132531180557133
20,700000168.029087,0.3,168.02908696137823,20,6,1.427119493484497,True,17.853259795179817,0.21365822498542247,3.966145744162291,7.274083213499038,2.8598521185181918,0.5372236545595235,0.721141976671919,4.831935999040214,0.4930309575785079,1.489470972718805,1.2133197918537435
21,314.7145768440229,1.0,314.7145768440229,50,50,9.86238956451416,False,4.349716841814673,0.11412913655208123,2.3425997046924056,3.936707861087286,3.9629863044558618,1.7665652059319028,0.7600902602938541,2.7493063857616913,2.5791066988679257,0.4749717569115776,0.5741584075985262
22,314.85747048394495,1.0,314.85747048394495,50,50,9.20992922782898,False,4.531574028818829,0.07466093072479155,3.2533536337141786,5.6982101538152925,4.892796051414017,2.394532037187745,0.5630292247124425,1.9740986975564851,2.276285728425854,0.9687489061309112,1.079030678105166
23,303.4693985619082,1.0,303.4693985619082,50,50,11.839029312133789,False,7.6828522006593545,0.11253352489156992,3.6304740146959293,4.683146966620986,2.774572555958163,3.457167271445129,0.28991612592892546,3.5522802701282874,2.4790945926398402,0.6695446911100509,1.5518228450867533
24,40000315.97881114,0.96,315.97881110366893,50,48,10.156029224395752,False,7.547155130479717,0.12595307264133002,3.6496299395825065,4.718152919059287,2.8217654395131175,3.465774041310009,0.11315167294065742,3.4960241926080045,2.488636412415424,0.45139031809492736,1.6645510928925127
25,100000290.60189654,0.9,290.6018965476393,50,45,15.202881813049316,False,16.331832904389273,0.16618816923220295,3.220048265807434,5.57002357153291,1.6475894975925958,2.594539725237233,0.4065245376224509,4.163110504188208,1.9236065264819444,1.4415236936830196,1.497898252935151
26,1000000000.0,0.0,0.0,20,0,5.5088791847229,True,5.713132713422352,0.05267282178859933,3.6987114940861616,6.5081634790964475,1.0631715603360252,1.8143266005022158,1.4447768655084914,1.2934624619596626,2.7587863340687355,1.108227145528889,2.162166644519569
27,317.74003632159764,1.0,317.74003632159764,50,50,9.697043895721436,False,9.432526080677372,0.07786435066429437,3.4130475755925604,4.473631261878801,3.2775404715291265,1.0748659300250052,0.8543670887661106,2.1788565371939583,2.995490062648261,0.6909571572291802,1.934310016634819
28,500000142.0144495,0.5,142.01444948257753,20,10,3.1461427211761475,True,2.1754486230908987,0.17916689682590664,2.040839777335762,2.886570208664653,2.5495746182393315,0.12007717282539904,1.2356257567624294,4.631415750877613,1.6347192517470561,1.7387759646870078,2.750904785069733
29,500000137.83788216,0.5,137.83788214732715,20,10,2.624436140060425,True,14.285251242706961,0.3092894286907468,3.058324784403639,5.219872775527387,1.481624222884536,0.6762875691350299,0.10325994022235307,3.1842699645694506,1.981149159849173,0.26813032553155536,1.1682803887035256
30,309.4197222536898,1.0,309.4197222536898,50,50,9.662027359008789,False,5.186715651976803,0.09909593596715141,3.7362434329481764,2.6285515141656663,1.9759112938964365,0.39972351706089815,0.43213790676782526,2.4482845614831867,1.699801881459475,0.008003883831843916,1.4409656621533955
31,148.063457129952,1.0,148.063457129952,20,20,1.0987963676452637,True,3.715632005580054,0.11466132758090425,2.5532523347787466,3.948649135681473,4.0035874454414975,3.921396558457511,0.69614726149973,1.38538990520865,2.4045800071467793,0.7779959239887886,0.7078379194918436
32,147.28561177510693,1.0,147.28561177510693,20,20,0.9805130958557129,True,3.565879314420051,0.08871776576449689,3.1107470757268674,3.6477109035503728,2.178729277785606,3.443821866932823,0.3418920416039747,3.4691529737881055,2.184791298776285,0.9728659565849919,1.633506185019561
33,150.53218989353923,1.0,150.53218989353923,20,20,1.5058321952819824,True,1.872653711189653,0.12880038099601604,1.789251423186212,4.209435649644097,3.671820257666882,3.696934354364259,0.6235827986086243,3.9530854010311627,2.095848800384356,0.5934131508377197,0.5197082382181364
