trial,score,validity_rate,delivery_fraction,avg_cost,n_runs,n_valid,elapsed_s,pruned,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
12,266.7172228722616,1.0,1.0,266.7172228722616,10,10,2.3950889110565186,False,1.5150094962153353,0.1374730187313928,3.800183963693817,3.262420524145287,4.631534352203563,2.8417739396911936,1.5181554492792466,7.788365620407205,2.8873418848263337,0.7553468874760925,1.4917455176771564
13,1000000000.0,0.0,0.0,0.0,10,0,7.356262922286987,False,2.8370499454812608,0.11736970999525805,0.6291043157408648,5.266950337859278,4.51875316260203,0.30076712987495846,1.1867212105227847,7.311994144749903,0.7186856720009173,0.4346846162736693,1.468358280832689
14,1000000000.0,0.0,0.0,0.0,10,0,7.527970314025879,False,30.447508447441887,0.10325026457205005,2.852474415920575,6.331337307301023,2.6634628079467975,2.9400437595862523,1.5343542176050877,5.242293729451846,1.900589132282684,1.6073240522242753,0.2708693101632249
15,71428571.4285714,0.0,0.9285714285714286,0.0,10,0,1.794468641281128,False,18.08237756237007,0.13071170838815346,1.1528147863994898,1.2854259908833474,5.136250602317693,2.7425010111849013,0.164692532818639,4.340697937244608,0.6794873255938139,1.9355183712283495,0.5230992870149743
16,1000000000.0,0.0,0.0,0.0,10,0,6.706199884414673,False,10.963896358898769,0.1592664464712787,3.7785549605785707,1.9626466090219528,3.3874644573518093,0.5425467328382974,3.7063051112863947,7.080045150357358,0.7738248831454668,1.9799521381025371,2.4516666006036476
17,1000000000.0,0.0,0.0,0.0,10,0,7.278325080871582,False,6.849525542617368,0.24437754297365058,1.3464830181515808,1.6517193746412944,7.280510305673287,3.611630422936989,2.569095683365745,3.0427234328652553,1.0476287238379827,2.177867036610718,2.691330779857731
18,1000000000.0,0.0,0.0,0.0,10,0,6.286750316619873,False,21.6370531677254,0.5171439905892993,2.747110761540007,1.588979754965342,2.131400998662296,3.604361335255609,2.4650733326724006,0.5689778871247224,0.3044146285980963,1.9905053073241674,0.01518475153865606
19,1000000000.0,0.0,0.0,0.0,10,0,6.99531888961792,False,1.7459839016739451,0.2587552224669915,2.9216331919244265,5.5637288165182035,2.5698851662239184,2.87749896325539,1.0252714412375203,2.9404977361945077,2.2394742153540723,1.948898697141644,2.5476702314825337
20,1000000000.0,0.0,0.0,0.0,10,0,6.811553716659546,False,4.763055321786304,0.8178081760009724,3.215982106267044,4.13551684769466,1.1075741612967305,1.8085156171011372,0.5835892352386571,7.849658957083823,2.514260753597828,2.9068378454468435,0.8422828627191128
21,329.53484061666757,1.0,1.0,329.53484061666757,10,10,15.756196022033691,False,1.0490012250617438,0.05583158020788255,2.3510557451665166,3.564531791014976,3.6732032895166773,3.9247084246723754,0.7088258465243313,5.474710792117765,2.331941680325723,0.9046099405119954,1.0370812357448
22,1000000000.0,0.0,0.0,0.0,10,0,7.6668126583099365,False,5.075416065561137,0.3532871354926938,3.969292883910649,4.319978778658786,4.196094576630506,2.466326791129367,1.5791985641749324,7.937907742518839,2.9980873159246535,0.8772943614774908,0.9330116342042257
23,306.88581894681846,1.0,1.0,306.88581894681846,10,10,2.4783358573913574,False,1.9209018685188015,0.08367226859090891,3.295789702292049,3.2628908263068688,6.36729561968313,3.9772507799487045,0.852691960570542,5.8391781322168335,2.564857914565889,0.17649977730525346,1.199942098151145
24,1000000000.0,0.0,0.0,0.0,10,0,7.4226391315460205,False,4.242015666854412,0.35093600885031495,2.5284811731312264,3.731497848385279,5.738188181557965,3.198800496013927,1.3624896786078855,4.805570874020005,1.9697794248062008,0.5455138673076461,2.1178164070914756
25,1000000000.0,0.0,0.0,0.0,10,0,7.822449207305908,False,1.0751722681867768,0.05024271230981687,1.9398571772894537,2.7853994844972734,3.0679377813005315,2.4272464590236282,1.9376113577383247,5.988115168495764,2.919549472970794,1.1330358675987784,1.2913562487108323
26,247.0982766131046,1.0,1.0,247.0982766131046,10,10,1.4668025970458984,False,3.5388066586583005,0.18367722778050424,3.4727402802008354,4.957706908467476,7.9133606393892775,3.206266886874209,0.4462169023603815,7.389102658388447,2.3970052033313305,2.5048844563548753,0.7342516018286545
