Problem,Size,SolverTime,ResolutionTime,Cost,Success
D10_P0,4,2.991815,0.0,112.63501226235819,True
D10_P0,5,2.997092,0.0,122.71840379724964,True
D10_P0,6,2.987976,0.0,124.88821755609837,True
D10_P0,7,3.000741,0.0,134.24118175741881,True
D10_P0,8,2.998591,0.0,135.20810300254337,True
D10_P0,9,2.996874,0.0,143.21799268070015,True
D10_P0,10,2.992353,0.0,143.3705394909589,True
